stim,stim_cat,frequency
grill,word,low
grit,word,low
gunk,word,low
handy,word,medium
haste,word,low
hawk,word,medium
heed,word,low
hello,word,medium
hick,word,low
hire,word,medium
hose,word,medium
hymn,word,low
knit,word,low
lark,word,low
lazy,word,medium
leaf,word,low
lend,word,medium
lever,word,low
lice,word,low
lied,word,medium
lime,word,low
lined,word,medium
lint,word,low
liver,word,medium
lobe,word,low
lone,word,medium
lope,word,low
loud,word,medium
lover,word,medium
lull,word,low
lungs,word,medium
lyric,word,low
mare,word,low
media,word,medium
merry,word,medium
mite,word,low
moan,word,low
monk,word,medium
mound,word,low
mouse,word,medium
muck,word,low
mute,word,low
neon,word,low
niece,word,medium
norm,word,low
norm,word,medium
nurse,word,medium
oath,word,medium
obey,word,medium
oddly,word,low
okay,word,medium
overt,word,low
oxen,word,low
paced,word,low
pare,word,low
patch,word,medium
pave,word,low
peck,word,low
perk,word,low
piled,word,low
pine,word,medium
pipe,word,medium
pity,word,medium
plea,word,medium
pole,word,medium
pore,word,low
pose,word,medium
prone,word,low
prow,word,low
pupil,word,low
quit,word,medium
rabbi,word,medium
raced,word,low
rage,word,medium
raged,word,low
raid,word,medium
rake,word,low
rated,word,low
rely,word,medium
repel,word,low
ridge,word,medium
ripe,word,low
rite,word,low
roast,word,medium
rope,word,medium
rung,word,low
sane,word,medium
scout,word,medium
shake,word,medium
sham,word,low
sheer,word,low
shoe,word,medium
shout,word,medium
sigh,word,low
silly,word,medium
sine,word,low
slack,word,medium
slate,word,low
slope,word,low
slump,word,low
sock,word,medium
sole,word,medium
soot,word,low
sore,word,medium
soup,word,medium
spray,word,medium
spur,word,low
stack,word,medium
stag,word,low
stake,word,medium
stare,word,medium
steep,word,medium
steep,word,low
stole,word,medium
stool,word,low
taxi,word,medium
tech,word,medium
thief,word,medium
thru,word,low
tile,word,low
timed,word,low
toil,word,low
tooth,word,medium
topic,word,medium
tore,word,medium
tout,word,low
tower,word,medium
trick,word,medium
trio,word,low
trot,word,low
upset,word,medium
utter,word,low
veto,word,low
virus,word,medium
void,word,low
waved,word,low
weary,word,low
wick,word,low
wing,word,medium
wipe,word,medium
wired,word,medium
wiry,word,low
woke,word,medium
zest,word,low
zinc,word,low
zone,word,medium
